,taxon_oid,Domain,Status,Study Name,Genome Name,Sequencing Center,IMG Genome ID ,Phylum,Class,Order,Family,Genus,Species,High Quality,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Habitat,Isolation,Type Strain,Uncultured Type,Genome Size   * assembled,Gene Count   * assembled,pfam00072,pfam00183,pfam00204,pfam00512,pfam02518,pfam07536,pfam07568,pfam07730,pfam13581,pfam13589,pfam13941,pfam14501,hamp_hk,ratio,hybrid,percent_hybrid
841,2524023241,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Chryseobacterium tenax DSM 16811,DOE Joint Genome Institute (JGI),2524023241,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium tenax,Yes,Environmental,Terrestrial,Unclassified,Geologic,"Aquatic, Fresh water",River epilithon,Yes,,3625890,3631,26,1,2,12,21,0,0,0,0,2,0,0,20,1.3,,0
1187,2713896943,Bacteria,Permanent Draft,Genome of Aphanizomenon ovalisporum,Chrysosporum ovalisporum UAM-MAO,Era7 bioinformatics,2713896943,Cyanobacteria,unclassified,Nostocales,Aphanizomenonaceae,Chrysosporum,Chrysosporum ovalisporum,Yes,,,,,,,,,4813075,4454,45,1,1,31,37,0,0,1,2,1,0,0,38,1.184210526,,0
19,2510065052,Bacteria,Permanent Draft,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Cloacibacillus evryensis 158, DSM 19522",DOE Joint Genome Institute (JGI),2510065052,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Cloacibacillus evryensis,Yes,Engineered,Wastewater,Unclassified,Unclassified,"Sludge, Wastewater treatment plant","Sewage sludge; France, wastewater treatment plant, Evry",Yes,,3488464,3142,25,1,1,12,23,0,0,2,0,1,1,1,22,1.136363636,,0
206,2556921093,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Clostridiisalibacter paucivorans DSM 22131,DOE Joint Genome Institute (JGI),2556921093,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridiisalibacter,Clostridiisalibacter paucivorans,Yes,Engineered,Food production,Unclassified,Unclassified,Aquatic,Olive mill wastewater,Yes,,3252497,3232,37,0,1,18,32,0,1,1,4,1,1,1,37,1,,0
1168,2526164710,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Clostridioides difficile DSM 1296,DOE Joint Genome Institute (JGI),2526164710,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Yes,Host-associated,Human,,,"Aquatic, Host, Human, Olive oil wastewater",,Yes,,4215158,3935,52,1,1,36,42,0,1,1,2,2,1,7,51,1.019607843,,0
363,2563366732,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Clostridium akagii DSM 12554,DOE Joint Genome Institute (JGI),2563366732,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium akagii,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,Acidic beech litter,Yes,,4589511,4439,58,1,2,30,45,0,1,7,1,5,0,2,51,1.137254902,6,15.38461538
988,2565956525,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Clostridium aminophilum DSM 10710,DOE Joint Genome Institute (JGI),2565956525,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] aminophilum,Yes,Host-associated,Mammals,Foregut,Digestive system,"Bovine, Host",Bovine rumen,Yes,,3116366,2660,32,1,2,15,24,0,0,0,3,2,0,1,27,1.185185185,,0
989,2556921656,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Clostridium cellobioparum ATCC 15832,DOE Joint Genome Institute (JGI),2556921656,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,[Clostridium] cellobioparum,Yes,Host-associated,Mammals,Foregut,Digestive system,"Bovine, Cattle, Host, Rumen","Rumen of cattle, 1998, L. Ganqiu",Yes,,6132222,5220,124,1,2,25,96,0,0,4,3,3,0,2,101,1.227722772,9,8.333333333
879,2563366730,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Clostridium hydrogeniformans DSM 21757,DOE Joint Genome Institute (JGI),2563366730,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium hydrogeniformans,Yes,Environmental,Aquatic,Groundwater,Freshwater,"Aquatic, Fresh water",Chlorinated solvent-contaminated groundwater,Yes,,4106453,3807,33,1,2,22,32,0,1,2,1,2,1,1,33,1,4,13.79310345
1019,2563366727,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Clostridium saccharogumia DSM 17460,DOE Joint Genome Institute (JGI),2563366727,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,[Clostridium] saccharogumia,Yes,Host-associated,Human,Large intestine,Digestive system,"Host, Human",Feces of a healthy human male adult,Yes,,3143441,2907,35,1,2,16,24,0,0,1,2,2,0,4,29,1.206896552,17,20.48192771
66,2519899647,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Clostridium sporosphaeroides DSM 1294,DOE Joint Genome Institute (JGI),2519899647,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,[Clostridium] sporosphaeroides,Yes,Host-associated,Unclassified,Unclassified,Unclassified,Host,Infected wound,Yes,,3176598,3019,25,1,2,13,23,0,0,0,1,2,0,0,23,1.086956522,13,15.6626506
124,2523533604,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Clostridium tyrobutyricum DSM 2637,DOE Joint Genome Institute (JGI),2523533604,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium tyrobutyricum,Yes,Host-associated,Plants,Unclassified,Unclassified,Plants,,Unknown,,3028122,3061,24,1,2,17,23,0,1,0,1,2,0,1,25,0.96,,0
20,2558309036,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Clostridium viride DSM 6836,DOE Joint Genome Institute (JGI),2558309036,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,[Clostridium] viride,Yes,Engineered,Wastewater,Unclassified,Unclassified,Sludge,Anaerobic sewage sludge,Yes,,2415478,2385,28,1,2,10,15,0,0,0,1,2,0,8,23,1.217391304,11,17.46031746
364,2519899681,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Cohnella laeviribosi DSM 21336,DOE Joint Genome Institute (JGI),2519899681,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Cohnella laeviribosi,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,"soil, volcanic area",Yes,,4478238,4285,82,1,2,28,72,0,0,8,3,2,0,0,74,1.108108108,7,11.29032258
125,2524023169,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Cohnella thermotolerans DSM 17683,DOE Joint Genome Institute (JGI),2524023169,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Cohnella thermotolerans,Yes,Host-associated,Plants,Unclassified,Unclassified,Plants,Industrial starch,Yes,,5053050,4770,84,1,2,30,79,0,1,10,2,2,0,1,82,1.024390244,21,42
651,647533184,Bacteria,Permanent Draft,Coleofasciculus chthonoplastes PCC 7420,Coleofasciculus chthonoplastes PCC 7420,"Institut Pasteur, J. Craig Venter Institute (JCVI)",647533184,Cyanobacteria,unclassified,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus chthonoplastes,Yes,Environmental,Aquatic,Intertidal zone,Marine,"Marine, Salt marsh",Salt marsh in Woods Hole Massachusetts,Unknown,,8679041,8359,166,1,1,125,147,0,4,1,5,2,0,0,156,1.064102564,13,23.63636364
516,2521172662,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Colwellia piezophila ATCC BAA-637,DOE Joint Genome Institute (JGI),2521172662,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia piezophila,Yes,Environmental,Aquatic,Unclassified,Sediment,"Aquatic, Sediment","Sediment, saltwater isolation date: September 23, 2001",Yes,,5484375,4598,87,1,2,38,67,0,0,1,1,1,0,0,66,1.318181818,1,2.631578947
21,2528768012,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Comamonas badia DSM 17552,DOE Joint Genome Institute (JGI),2528768012,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas badia,Yes,Engineered,Wastewater,Unclassified,Unclassified,Sludge,Activated sludge,Yes,,3681020,3550,37,1,2,18,28,0,0,1,2,1,0,0,28,1.321428571,1,2.702702703
1106,2524614759,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Comamonas composti DSM 21721,DOE Joint Genome Institute (JGI),2524614759,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas composti,Yes,Engineered,Solid waste,Unclassified,Composting,Compost,Food waste compost,Yes,,4639833,4165,52,1,2,25,41,0,0,3,0,2,0,0,40,1.3,4,8.888888889
1075,2524023156,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Conchiformibius kuhniae DSM 17694,DOE Joint Genome Institute (JGI),2524023156,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Conchiformibius,Conchiformibius kuhniae,Yes,Host-associated,Animal,Unclassified,Digestive system,Host,Oral cavity of cats,Yes,,2123891,2091,6,0,2,3,8,0,0,0,0,1,0,0,7,0.857142857,1,3.846153846
1076,2556921602,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Conchiformibius steedae DSM 2580,DOE Joint Genome Institute (JGI),2556921602,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Conchiformibius,Conchiformibius steedae,Yes,Host-associated,Animal,Unclassified,Digestive system,Host,Oral cavity of dogs,Yes,,2148680,2135,8,0,2,4,10,0,0,1,0,1,0,0,9,0.888888889,4,4.761904762
365,646311917,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Conexibacter woesei ID131577, DSM 14684",DOE Joint Genome Institute (JGI),646311917,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Conexibacter woesei,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,Forest soil in Gerenzano Italy,Yes,,6359369,6001,76,0,1,19,35,0,1,30,6,0,0,0,41,1.853658537,4,8.510638298
22,2522572051,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),Coprothermobacter platensis DSM 11748,DOE Joint Genome Institute (JGI),2522572051,Firmicutes,Clostridia,Thermoanaerobacterales,Thermodesulfobiaceae,Coprothermobacter,Coprothermobacter platensis,Yes,Engineered,Wastewater,Unclassified,Unclassified,Wastewater treatment plant,Anaerobic wastewater treatment reactor of baker yeast factory,Yes,,1424377,1477,5,0,1,2,6,0,0,0,1,1,0,0,7,0.714285714,2,4.651162791
652,646564524,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Coraliomargarita akajimensis DSM 45221,DOE Joint Genome Institute (JGI),646564524,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Coraliomargarita,Coraliomargarita akajimensis,Yes,Environmental,Aquatic,Unclassified,Marine,"Aquatic, Marine, Sea water","Seawater surrounding the hard coral x Galaxea fascicularis; Majanohama, Akajima, Japan",Yes,,3750771,3191,38,1,2,24,35,0,0,5,0,3,0,0,35,1.085714286,1,4.761904762
1002,2503538010,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Coriobacterium glomerans PW2, DSM 20642",DOE Joint Genome Institute (JGI),2503538010,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Coriobacterium,Coriobacterium glomerans,Yes,Host-associated,Insecta,Unclassified,Digestive system,"Host, Insect",Intestinal tract of the red soldier bug,Yes,,2115681,1858,10,1,1,7,11,0,0,1,1,2,0,0,12,0.833333333,4,6.153846154
1167,2522572159,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Corynebacterium callunae DSM 20147,DOE Joint Genome Institute (JGI),2522572159,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium callunae,Yes,Engineered,Industrial production,,,,Mineral and Chem. Corp,Yes,,2890884,2761,11,0,1,6,10,0,0,2,0,0,0,0,9,1.222222222,4,7.01754386
67,2517572222,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Corynebacterium capitovis DSM 44611,DOE Joint Genome Institute (JGI),2517572222,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium capitovis,Yes,Host-associated,Unclassified,Unclassified,Unclassified,Host,skin scrapings from the infected head of a sheep,Yes,,1960866,1940,9,0,1,3,6,0,0,3,0,0,0,0,5,1.8,2,9.090909091
68,2515154055,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Corynebacterium caspium DSM 44850,DOE Joint Genome Institute (JGI),2515154055,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium caspium,Yes,Host-associated,Unclassified,Unclassified,Unclassified,Host,penis of a Caspian seal (Phoca caspica),Yes,,1843677,1699,6,0,1,3,5,0,0,2,0,0,0,0,4,1.5,4,16
585,2515154014,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Corynebacterium ciconiae DSM 44920,DOE Joint Genome Institute (JGI),2515154014,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium ciconiae,Yes,Host-associated,Birds,Unclassified,Reproductive system,"Bird, Host",Trachea of apparently healthy wild nestling black storks (Ciconia nigra),Yes,,2547296,2275,11,1,1,5,8,0,0,5,0,1,0,0,7,1.571428571,,0
23,2515154029,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project","Corynebacterium doosanense CAU 212, DSM 45436",DOE Joint Genome Institute (JGI),2515154029,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium doosanense,Yes,Engineered,Wastewater,Unclassified,Unclassified,"Sludge, Wastewater treatment plant","Activated sludge from a wastewater treatment plant, Yeongdeuk-gun, Republic of Korea",Yes,,2649051,2658,13,0,1,6,10,0,0,5,0,0,0,0,9,1.444444444,9,12
181,2524614613,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Corynebacterium freiburgense DSM 45254,DOE Joint Genome Institute (JGI),2524614613,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium freiburgense,Yes,Host-associated,Human,Unclassified,Unclassified,"Host, Human",Human wound from dog bite,Yes,,2915705,2729,12,1,1,4,6,0,0,5,0,1,0,0,5,2.4,,0
182,2529292557,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Corynebacterium glucuronolyticum DSM 44120,DOE Joint Genome Institute (JGI),2529292557,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glucuronolyticum,Yes,Host-associated,Human,Unclassified,Unclassified,"Host, Human","ejaculate, patient with prostatitis",Yes,,2821068,2663,9,0,1,5,7,0,0,3,0,0,0,1,7,1.285714286,28,34.14634146
366,2556921045,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project","Corynebacterium halotolerans YIM 70093, DSM 44683",DOE Joint Genome Institute (JGI),2556921045,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium halotolerans,Yes,Environmental,Terrestrial,Unclassified,Soil,"Saline soil, Soil",Saline soil,Yes,,3202499,2980,14,0,1,8,12,0,0,3,0,0,0,0,11,1.272727273,22,30.98591549
982,2515154018,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Corynebacterium lubricantis DSM 45231,DOE Joint Genome Institute (JGI),2515154018,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium lubricantis,Yes,Engineered,Industrial production,Unclassified,Engineered product,,"Coolant lubricant; Germany, Giessen",Yes,,2945890,2886,14,0,1,5,8,0,0,6,0,1,0,0,8,1.75,69,50.73529412
183,2524023165,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Corynebacterium massiliense DSM 45435,DOE Joint Genome Institute (JGI),2524023165,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium massiliense,Yes,Host-associated,Human,Unclassified,Unclassified,"Host, Human",Hip joint fluid of a patient with an infected orthopaedic prosthesis,Yes,,2183019,2042,10,0,1,4,6,0,0,6,0,0,0,0,5,2,12,18.75
1103,2515154131,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Corynebacterium mastitidis DSM 44356,DOE Joint Genome Institute (JGI),2515154131,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium mastitidis,Yes,Engineered,Food production,Unclassified,Dairy products,"Host, Milk",milk of sheep with subclinical mastitis,Yes,,2371728,2303,12,0,1,4,6,0,0,8,1,0,0,0,6,2,41,45.05494505
69,2515154153,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Corynebacterium pilosum DSM 20521,DOE Joint Genome Institute (JGI),2515154153,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pilosum,Yes,Host-associated,Unclassified,Unclassified,Unclassified,"Bovine, Host",Cow,Yes,,2533337,2452,10,0,1,6,8,0,0,2,0,0,0,0,7,1.428571429,1,2.380952381
556,2515154156,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Corynebacterium propinquum DSM 44285,DOE Joint Genome Institute (JGI),2515154156,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium propinquum,Yes,Host-associated,Human,Unclassified,Respiratory system,"Host, Human",Human tracheal aspiration,Yes,,2458635,2285,11,0,1,3,6,0,0,7,0,0,0,0,5,2.2,10,20.83333333
557,2556921672,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Corynebacterium pseudodiphtheriticum DSM 44287,DOE Joint Genome Institute (JGI),2556921672,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudodiphtheriticum,Yes,Host-associated,Human,Unclassified,Respiratory system,"Host, Human",Human throat,Yes,,2261008,2095,12,0,1,4,7,0,0,7,1,0,0,0,7,1.714285714,54,42.51968504
558,2513237121,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Corynebacterium sputi DSM 45148,DOE Joint Genome Institute (JGI),2513237121,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sputi,Yes,Host-associated,Human,Pulmonary system,Respiratory system,"Host, Human",sputum of a patient with pneumonia,Yes,,2919400,2854,9,0,1,5,7,0,0,4,1,0,0,0,7,1.285714286,29,39.18918919
506,2515154059,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Corynebacterium ulceribovis DSM 45146,DOE Joint Genome Institute (JGI),2515154059,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium ulceribovis,Yes,Host-associated,Animal,Unclassified,Skin,"Bovine, Host","Skin of the udder of a cow with a profound ulceration, in Schleswig Holstein, Germany",Yes,,2300451,2158,6,0,1,3,4,0,0,2,0,0,0,0,3,2,66,51.5625
1188,2504643013,Bacteria,Finished,GEBA-PCC,Crinalium epipsammum PCC 9333,DOE Joint Genome Institute (JGI),2504643013,Cyanobacteria,unclassified,Oscillatoriales,Gomontiellaceae,Crinalium,Crinalium epipsammum,Yes,,,,,,,Unknown,,5620407,5059,118,1,1,97,115,0,2,0,3,1,0,0,119,0.991596639,55,47.00854701
653,2556921666,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Crocinitomix catalasitica ATCC 23190,DOE Joint Genome Institute (JGI),2556921666,Bacteroidetes,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,Crocinitomix catalasitica,Yes,Environmental,Aquatic,Intertidal zone,Marine,Sea sand,"Under frozen sand, Auke Bay, AK",Yes,,4622888,4128,45,1,2,16,31,0,12,3,1,2,0,2,45,1,38,40.42553191
654,2531839001,Bacteria,Permanent Draft,Crocosphaera watsonii WH 0003,Crocosphaera watsonii WH 0003,"University of California, Santa Cruz",2531839001,Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Yes,Environmental,Aquatic,Unclassified,Marine,Marine,Station ALOHA,Unknown,,5890504,6187,65,1,1,27,39,0,0,0,2,3,0,0,42,1.547619048,19,27.94117647
655,2503283005,Bacteria,Permanent Draft,Crocosphaera watsonii WH 0003,Crocosphaera watsonii WH 0003 ((899 contigs)),,2503283005,Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Yes,Environmental,Aquatic,Unclassified,Marine,Marine,Station ALOHA,Unknown,,5461113,5774,65,1,1,27,39,0,0,0,2,3,0,0,42,1.547619048,15,25.86206897
656,2636415574,Bacteria,Permanent Draft,Crocosphaera watsonii WH 0005,Crocosphaera watsonii WH 0005,"University of California, Santa Cruz",2636415574,Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Yes,Environmental,Aquatic,,Marine,Marine,North Pacific,No,,5961117,6625,69,1,1,30,43,0,0,0,2,3,0,0,46,1.5,11,32.35294118
1189,2503283007,Bacteria,Permanent Draft,Crocosphaera watsonii WH 0401,Crocosphaera watsonii WH 0401 (draft1),"University of California, Santa Cruz",2503283007,Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Yes,,,,,,,No,,4549610,5231,57,1,1,21,34,0,0,0,2,3,0,0,37,1.540540541,35,38.46153846
657,2627853717,Bacteria,Permanent Draft,Crocosphaera watsonii WH 0402,Crocosphaera watsonii WH 0402,"University of California, Santa Cruz",2627853717,Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Yes,Environmental,Aquatic,Unclassified,Marine,Marine,South Atlantic,No,,1997175,2349,26,0,1,12,17,0,0,0,0,0,0,0,16,1.625,38,40
658,638341074,Bacteria,Permanent Draft,Crocosphaera watsonii WH8501,Crocosphaera watsonii WH 8501,DOE Joint Genome Institute (JGI),638341074,Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Yes,Environmental,Aquatic,Unclassified,Marine,Fresh water,tropical southern Atlantic Ocean,Yes,,6238156,6001,54,1,1,24,36,0,0,0,2,3,0,0,39,1.384615385,33,27.96610169
659,2503283009,Bacteria,Permanent Draft,Crocosphaera watsonii WH 8501 (120ctgs),Crocosphaera watsonii WH 8501,,2503283009,Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Yes,Environmental,Aquatic,Unclassified,Marine,Fresh water,tropical southern Atlantic Ocean,Yes,,6287279,6715,52,1,1,24,35,0,0,0,2,3,0,0,38,1.368421053,29,46.77419355
660,2639763078,Bacteria,Permanent Draft,Crocosphaera watsonii WH 8502,Crocosphaera watsonii WH 8502,"University of California, Santa Cruz",2639763078,Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Yes,Environmental,Aquatic,Unclassified,Marine,Marine,South Atlantic,No,,4683052,5315,53,1,1,21,29,0,0,0,2,3,0,0,32,1.65625,34,32.38095238
1020,644736346,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Cryptobacterium curtum 12-3, DSM 15641",DOE Joint Genome Institute (JGI),644736346,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Cryptobacterium,Cryptobacterium curtum,Yes,Host-associated,Human,Oral,Digestive system,"Host, Human, Human oral cavity",Periodontal pocket of an adult patient with periodontal disease in 1995,Yes,,1617804,1421,12,1,1,7,12,0,0,3,0,2,0,0,12,1,,0
367,2510065084,Bacteria,Permanent Draft,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Cryptosporangium arvum YU 629-21, DSM 44712",DOE Joint Genome Institute (JGI),2510065084,Actinobacteria,Actinobacteria,Frankiales,Cryptosporangiaceae,Cryptosporangium,Cryptosporangium arvum,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,Cultivated soil from a vegetable field in Japan,Yes,,9195993,8650,143,1,1,60,87,0,1,78,18,1,0,0,105,1.361904762,8,14.03508772
661,2524614806,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Cucumibacter marinus DSM 18995,DOE Joint Genome Institute (JGI),2524614806,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Cucumibacter,Cucumibacter marinus,Yes,Environmental,Aquatic,Unclassified,Marine,"Aquatic, Marine, Sea water",Coastal seawater,Yes,,3713661,3628,40,0,2,21,26,3,0,0,0,1,0,0,25,1.6,3,8.333333333
880,2545555856,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Curvibacter gracilis ATCC BAA-807,DOE Joint Genome Institute (JGI),2545555856,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter,Curvibacter gracilis,Yes,Environmental,Aquatic,Unclassified,Freshwater,"Aquatic, Fresh water","Fresh water, Osaka Japan",Yes,,6748240,6140,98,1,2,53,78,0,1,8,0,2,0,0,78,1.256410256,3,11.11111111
