,Genome Name,HPK,RR,Hybrid,% Hybrid,RR:HPK Ratio,Genome Size   * assembled,Gene Count   * assembled,taxon_oid,Domain,Status,Study Name,Sequencing Center,Phylum,Class,Order,Family,Genus,Species,Ecosystem*,Ecosystem Category*,Ecosystem Subtype*,Ecosystem Type*,Ecotype*,Habitat*
275,Corynebacterium pseudodiphtheriticum DSM 44287,12.0,12.0,,,1.0,2261008,2095,2556921672,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudodiphtheriticum,Host-associated,Human,Unclassified,Respiratory system,,"Host, Human"
276,Corynebacterium sputi DSM 45148,11.0,9.0,,,0.818181818,2919400,2854,2513237121,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sputi,Host-associated,Human,Pulmonary system,Respiratory system,,"Host, Human"
277,Corynebacterium ulceribovis DSM 45146,5.0,6.0,,,1.2,2300451,2158,2515154059,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium ulceribovis,Host-associated,Animal,Unclassified,Skin,,"Bovine, Host"
278,Crocinitomix catalasitica ATCC 23190,35.0,39.0,6.0,17.14285714,1.114285714,4622888,4128,2556921666,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Bacteroidetes,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,Crocinitomix catalasitica,Environmental,Aquatic,Intertidal zone,Marine,,Sea sand
281,Crocosphaera watsonii WH 0005,51.0,50.0,19.0,37.25490196,0.980392157,5961117,6625,2636415574,Bacteria,Draft,Crocosphaera watsonii WH 0005,"University of California, Santa Cruz",Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Environmental,Aquatic,,Marine,,Marine
282,Crocosphaera watsonii WH 0401,41.0,43.0,14.0,34.14634146,1.048780488,4549610,5231,2503283007,Bacteria,Permanent Draft,Crocosphaera watsonii WH 0401,"University of California, Santa Cruz",Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,,,,,,
283,Crocosphaera watsonii WH 0402,20.0,21.0,5.0,25.0,1.05,1997175,2349,2627853717,Bacteria,Draft,Crocosphaera watsonii WH 0402,"University of California, Santa Cruz",Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Environmental,Aquatic,Unclassified,Marine,,Marine
286,Crocosphaera watsonii WH 8502,36.0,41.0,12.0,33.33333333,1.138888889,4683052,5315,2639763078,Bacteria,Draft,Crocosphaera watsonii WH 8502,"University of California, Santa Cruz",Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Environmental,Aquatic,Unclassified,Marine,,Marine
287,"Cryptobacterium curtum 12-3, DSM 15641",14.0,12.0,,,0.857142857,1617804,1421,644736346,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Cryptobacterium,Cryptobacterium curtum,Host-associated,Human,Oral,Digestive system,,"Host, Human, Human oral cavity"
288,"Cryptosporangium arvum YU 629-21, DSM 44712",169.0,134.0,9.0,5.325443787,0.7928994079999999,9195993,8650,2510065084,Bacteria,Permanent Draft,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Frankiales,Cryptosporangiaceae,Cryptosporangium,Cryptosporangium arvum,Environmental,Terrestrial,Unclassified,Soil,,Soil
289,Cucumibacter marinus DSM 18995,29.0,36.0,4.0,13.79310345,1.24137931,3713661,3628,2524614806,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Cucumibacter,Cucumibacter marinus,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water"
290,Curvibacter gracilis ATCC BAA-807,78.0,81.0,17.0,21.79487179,1.038461538,6748240,6140,2545555856,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter,Curvibacter gracilis,Environmental,Aquatic,Unclassified,Freshwater,,"Aquatic, Fresh water"
291,Curvibacter lanceolatus ATCC 14669,80.0,88.0,17.0,21.25,1.1,6834651,6353,2519103180,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter,Curvibacter lanceolatus,Environmental,Aquatic,Unclassified,Freshwater,,"Aquatic, Fresh water"
292,Cutibacterium acnes DSM 1897,12.0,14.0,,,1.166666667,2478994,2329,2515154214,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Host-associated,Human,Unclassified,Skin,,"Host, Human, Human skin"
293,Cyanobium sp. CACIAM 14,18.0,16.0,3.0,16.66666667,0.8888888890000001,3212489,3240,2617271122,Bacteria,Draft,Cyanobium sp. CACIAM 14 Metagenome and Genome sequencing,Federal University of Para,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Cyanobium,Cyanobium sp. CACIAM 14,,,,,,
294,Cyanobium sp. NIES-981,8.0,10.0,,,1.25,3021545,3119,2757320922,Bacteria,Draft,Genome sequencing of Cyanobium sp. NIES-981,National Institute for Environmental Studies,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Cyanobium,Cyanobium sp. NIES-981,,,,,,
295,Cyanobium sp. PCC 7001,8.0,11.0,,,1.375,2834252,2826,647533126,Bacteria,Permanent Draft,Cyanobium sp. PCC 7001,J. Craig Venter Institute (JCVI),Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Cyanobium,Cyanobium sp. PCC 7001,Environmental,Aquatic,Intertidal zone,Marine,,"Marine, Mud, Soil"
296,"Cyanothece sp. BH63E, ATCC 51472",54.0,56.0,21.0,38.88888889,1.037037037,5460476,5170,2507262054,Bacteria,Permanent Draft,Cyanothece Sequencing CSP_777088,DOE Joint Genome Institute (JGI),Cyanobacteria,unclassified,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. ATCC 51472,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine"
297,"Cyanothece sp. BH68, ATCC 51142",54.0,56.0,21.0,38.88888889,1.037037037,5460377,5354,641522622,Bacteria,Finished,"Cyanothece sp. BH68, ATCC 51142",Washington University in St. Louis,Cyanobacteria,unclassified,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. ATCC 51142,Environmental,Aquatic,Intertidal zone,Marine,,Marine
298,Cyanothece sp. CCY 0110,70.0,64.0,33.0,47.14285714,0.914285714,5880532,6526,640612201,Bacteria,Permanent Draft,Cyanothece sp. CCY 0110,J. Craig Venter Institute (JCVI),Cyanobacteria,unclassified,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. CCY0110,Environmental,Aquatic,Unclassified,Marine,,Marine
299,Cyanothece sp. PCC 7424,76.0,78.0,31.0,40.78947368,1.026315789,6554169,5933,643348533,Bacteria,Finished,Cyanothece Sequencing CSP_777088,DOE Joint Genome Institute (JGI),Cyanobacteria,unclassified,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. PCC 7424,Environmental,Terrestrial,Unclassified,Agricultural field,,Fresh water
300,Cyanothece sp. PCC 7425,90.0,70.0,54.0,60.0,0.7777777779999999,5786110,5481,643348534,Bacteria,Finished,Cyanothece Sequencing CSP_777088,DOE Joint Genome Institute (JGI),Cyanobacteria,unclassified,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. PCC 7425,Environmental,Terrestrial,Unclassified,Agricultural field,,Fresh water
301,Cyanothece sp. PCC 7822,101.0,91.0,44.0,43.56435644,0.900990099,7841948,7040,648028021,Bacteria,Finished,Cyanothece Sequencing CSP_777088,DOE Joint Genome Institute (JGI),Cyanobacteria,unclassified,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. PCC 7822,Environmental,Terrestrial,Unclassified,Agricultural field,,Fresh water
302,Cyanothece sp. PCC 8801,51.0,57.0,20.0,39.21568627,1.117647059,4787694,4615,643348535,Bacteria,Finished,Cyanothece Sequencing CSP_777088,DOE Joint Genome Institute (JGI),Cyanobacteria,unclassified,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. PCC 8801,Environmental,Terrestrial,Unclassified,Agricultural field,,Fresh water
303,Cyanothece sp. PCC 8802,51.0,56.0,21.0,41.17647059,1.0980392159999999,4803347,4697,644736348,Bacteria,Finished,Cyanothece Sequencing CSP_777088,DOE Joint Genome Institute (JGI),Cyanobacteria,unclassified,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. PCC 8802,Environmental,Terrestrial,Unclassified,Soil,,"Fresh water, Soil"
304,"Cyclobacterium marinum Raj, DSM 745",57.0,49.0,13.0,22.80701754,0.859649123,6221273,5151,2506381023,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Cyclobacterium,Cyclobacterium marinum,Host-associated,Fish,Unclassified,Unclassified,,"Fish, Host, Marine"
305,Cylindrospermopsis raciborskii CS-505,27.0,23.0,7.0,25.92592593,0.851851852,3879030,3500,647000233,Bacteria,Permanent Draft,Cylindrospermopsis raciborskii CS-505,Leibniz Institute,Cyanobacteria,unclassified,Nostocales,Aphanizomenonaceae,Cylindrospermopsis,Cylindrospermopsis raciborskii,,,,,,
306,Cylindrospermopsis raciborskii ITEP-A1,26.0,22.0,7.0,26.92307692,0.846153846,3603762,3408,2728369583,Bacteria,Draft,Cylindrospermopsis raciborskii Genome sequencing and assembly,University of Sao Paulo,Cyanobacteria,unclassified,Nostocales,Aphanizomenonaceae,Cylindrospermopsis,Cylindrospermopsis raciborskii,,,,,,
307,Cytophaga aurantiaca DSM 3654,56.0,32.0,8.0,14.28571429,0.571428571,4425125,3923,2515154146,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,Cytophaga aurantiaca,Environmental,Terrestrial,Unclassified,Soil,,"Aquatic, Soil"
308,Dasania marina DSM 21967,45.0,,,,,4104988,3729,2515154073,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Dasania,Dasania marina,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine, Sediment"
309,Deefgea rivuli DSM 18356,49.0,,,,,3713920,3468,2556921014,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Deefgea,Deefgea rivuli,Environmental,Aquatic,Unclassified,Unclassified,,Aquatic
310,Deinococcus apachensis DSM 19763,38.0,36.0,1.0,2.631578947,0.947368421,4452642,4394,2519103012,Bacteria,Permanent Draft,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus apachensis,Environmental,Terrestrial,Unclassified,Soil,,Soil
311,Deinococcus aquatilis DSM 23025,36.0,40.0,1.0,2.777777778,1.111111111,5003288,4845,2519899682,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus aquatilis,Engineered,Wastewater,Unclassified,Industrial wastewater,,Aquatic
312,Deinococcus ficus DSM 19119,45.0,44.0,4.0,8.888888889,0.977777778,4146328,4075,2524614857,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus ficus,Host-associated,Plants,Unclassified,Rhizoplane,,"Rhizosphere, Soil"
313,Deinococcus frigens DSM 12807,27.0,23.0,1.0,3.7037037039999996,0.851851852,4031778,4057,2561511139,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus frigens,Environmental,Terrestrial,Unclassified,Soil,,Soil
314,"Deinococcus hopiensis KR-140, DSM 18049",83.0,79.0,5.0,6.024096386,0.951807229,6650868,6701,2509276064,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus hopiensis,Environmental,Terrestrial,Unclassified,Soil,,Soil
315,"Deinococcus maricopensis LB-34, DSM 21211",48.0,37.0,4.0,8.333333332999999,0.770833333,3498530,3367,649633034,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus maricopensis,Environmental,Terrestrial,Unclassified,Soil,,Soil
316,Deinococcus marmoris DSM 12784,41.0,32.0,2.0,4.87804878,0.780487805,4800021,4688,2561511138,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus marmoris,Environmental,Terrestrial,Unclassified,Geologic,,Rock
317,Deinococcus murrayi DSM 11303,19.0,19.0,1.0,5.263157895,1.0,2767614,2756,2527291725,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus murrayi,Environmental,Aquatic,Unclassified,Thermal springs,,"Aquatic, Hot spring"
318,"Deinococcus peraridilitoris KR-200, DSM 19664",64.0,58.0,5.0,7.8125,0.90625,4513714,4466,2509276065,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus peraridilitoris,Environmental,Terrestrial,Unclassified,Soil,,Soil
319,"Deinococcus pimensis KR-235, DSM 21231",56.0,54.0,4.0,7.142857143,0.9642857140000001,4765907,4452,2508501115,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),DOE Joint Genome Institute (JGI),Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus pimensis,Environmental,Terrestrial,Unclassified,Soil,,Soil
320,"Deinococcus proteolyticus MRP, DSM 20540",20.0,18.0,2.0,10.0,0.9,2886836,2799,649633035,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus proteolyticus,Host-associated,Animal,Fecal,Digestive system,,"Host, Soil"
321,Deinococcus radiodurans DSM 20539,24.0,24.0,4.0,16.66666667,1.0,3243759,3186,2563366733,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiodurans,Engineered,Food production,Unclassified,Unclassified,,Meat food product
322,Demetria terragena DSM 11295,22.0,23.0,,,1.045454545,3574772,3454,2521172561,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Demetria,Demetria terragena,Engineered,Solid waste,Unclassified,Composting,,"Compost, Soil"
323,"Denitrovibrio acetiphilus N2460, DSM 12809",72.0,62.0,10.0,13.88888889,0.8611111109999999,3222077,3067,646564527,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Denitrovibrio,Denitrovibrio acetiphilus,Environmental,Terrestrial,Unclassified,Oil reservoir,,Oil fields
324,Dermatophilus congolensis DSM 44180,18.0,20.0,,,1.111111111,2623236,2349,2523533584,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,Dermatophilus,Dermatophilus congolensis,Host-associated,Mammals,Unclassified,Skin,,"Bovine, Host"
325,Derxia gummosa DSM 723,79.0,67.0,29.0,36.70886076,0.8481012659999999,5190850,4414,2529292503,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Derxia,Derxia gummosa,Environmental,Terrestrial,Unclassified,Soil,,Soil
326,Desertifilum sp. IPPAS B-1220,178.0,77.0,68.0,38.20224719,0.43258427,6086384,5185,2751185667,Bacteria,Draft,Desertifilum sp. IPPAS B-1220 Genome sequencing,"Institute of Plant Physiology, Russian Academy of Sciences",Cyanobacteria,unclassified,Oscillatoriales,Desertifilaceae,Desertifilum,Desertifilum sp. IPPAS B-1220,,,,,,
327,"Desulfarculus baarsii 2st14, DSM 2075",72.0,62.0,26.0,36.11111111,0.8611111109999999,3655731,3355,648028023,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfarculus,Desulfarculus baarsii,Environmental,Terrestrial,Unclassified,Soil,,Mud
328,Desulfatibacillum aliphaticivorans DSM 15576,136.0,101.0,73.0,53.67647059,0.742647059,6469960,5375,2522572160,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatibacillum,Desulfatibacillum aliphaticivorans,Environmental,Aquatic,Coastal,Marine,,"Aquatic, Marine, Sediment"
329,Desulfatiglans anilini DSM 4660,64.0,75.0,12.0,18.75,1.171875,4667344,4105,2526164742,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatiglans,Desulfatiglans anilini,Environmental,Aquatic,Coastal,Marine,,"Aquatic, Marine, Sediment"
330,Desulfatirhabdium butyrativorans DSM 18734,89.0,70.0,42.0,47.19101124,0.786516854,4481975,3976,2524023145,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatirhabdium,Desulfatirhabdium butyrativorans,Engineered,Biotransformation,Unclassified,Unclassified,,Bioreactor
331,Desulfitibacter alkalitolerans DSM 16504,38.0,40.0,1.0,2.631578947,1.052631579,4361351,4346,2556921039,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),DOE Joint Genome Institute (JGI),Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitibacter,Desulfitibacter alkalitolerans,Engineered,Bioremediation,Unclassified,Metal,,Host
332,"Desulfobacca acetoxidans ASRB2, DSM 11109",46.0,41.0,12.0,26.08695652,0.891304348,3282536,3023,2504136006,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfobacca,Desulfobacca acetoxidans,Engineered,Wastewater,Unclassified,Unclassified,,"Bioreactor, Sludge"
333,Desulfobacter curvatus DSM 3379,122.0,107.0,63.0,51.63934426,0.87704918,5646235,5063,2515154174,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter,Desulfobacter curvatus,Environmental,Aquatic,Coastal,Marine,,"Aquatic, Marine, Sediment"
334,Desulfobulbus elongatus DSM 2908,69.0,65.0,29.0,42.02898551,0.942028986,3961953,3565,2556921601,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,Desulfobulbus elongatus,Engineered,Biotransformation,Unclassified,Unclassified,,Bioreactor
335,Desulfobulbus japonicus DSM 18378,124.0,96.0,67.0,54.03225806,0.774193548,5806184,5125,2524614762,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,Desulfobulbus japonicus,Environmental,Aquatic,Intertidal zone,Marine,,"Aquatic, Estuaries"
336,Desulfobulbus mediterraneus DSM 13871,111.0,73.0,61.0,54.95495495,0.657657658,4796810,4007,2523533605,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,Desulfobulbus mediterraneus,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Deep sea, Marine, Sediment"
337,"Desulfobulbus propionicus 1pr3, DSM 2032",90.0,78.0,44.0,48.88888889,0.8666666670000001,3851869,3408,649633036,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,Desulfobulbus propionicus,Environmental,Terrestrial,Unclassified,Soil,,Mud
338,Desulfococcus multivorans DSM 2059,63.0,62.0,19.0,30.15873016,0.9841269840000001,4384504,3873,2568526001,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,Desulfococcus multivorans,Engineered,Wastewater,Unclassified,Unclassified,,
339,Desulfocurvus vexinensis DSM 17965,57.0,64.0,18.0,31.57894737,1.122807018,3632731,3372,2541046937,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfocurvus,Desulfocurvus vexinensis,Environmental,Aquatic,Groundwater,Freshwater,,"Aquatic, Fresh water"
340,Desulfofarcimen acetoxidans DSM 771,53.0,46.0,9.0,16.98113208,0.867924528,4545624,4471,644736351,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofarcimen,Desulfofarcimen acetoxidans,Engineered,Solid waste,Unclassified,Solid animal waste,,Animal manure
341,Desulfofundulus thermocisternus DSM 10259,25.0,24.0,,,0.96,2656730,2732,2563366724,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,Desulfofundulus thermocisternus,Environmental,Terrestrial,Unclassified,Oil reservoir,,"Aquatic, Oil fields"
342,"Desulfohalobium retbaense HR100, DSM 5692",31.0,29.0,11.0,35.48387097,0.935483871,2909567,2612,644736349,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobium,Desulfohalobium retbaense,Environmental,Aquatic,Unclassified,Sediment,,"Aquatic, Sediment"
343,Desulfohalotomaculum alkaliphilum DSM 12257,24.0,21.0,3.0,12.5,0.875,2622239,2758,2565956519,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfohalotomaculum,Desulfohalotomaculum alkaliphilum,Engineered,Solid waste,Unclassified,Solid animal waste,,"Bovine, Host, Pig"
344,"Desulfomicrobium baculatum X, DSM 4028",87.0,83.0,39.0,44.82758621,0.954022989,3942657,3564,644736350,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,Desulfomicrobium baculatum,Environmental,Terrestrial,Mine,Geologic,,Mine
345,Desulfomicrobium escambiense DSM 10707,93.0,86.0,40.0,43.01075269,0.924731183,3784129,3440,2524023157,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,Desulfomicrobium escambiense,Environmental,Aquatic,Unclassified,Sediment,,"Aquatic, Fresh water, Sediment"
