Genome Name,org_type_y,ratio,HPK,rr,his_kin_per_100,Genome Size   * assembled,Gene Count   * assembled,hpkper,HybridHPK,taxon_oid,Domain,Status,Study Name,Sequencing Center,IMG Genome ID ,Phylum,ForColors,Class,Order,Family,Genus,Species,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Ecotype,Habitat,lifestyle_color,order_color
Prochlorococcus marinus marinus CCMP1375,o,0.666666667,9,6,0.465597517,1751080,1933,0.465597517,,637000213,Bacteria,Finished,Prochlorococcus marinus marinus CCMP1375,CEA Genoscope,637000213,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),"Aquatic, Marine",#abdda4,#66c2a5
Prochlorococcus marinus LG,o,0.666666667,9,6,0.462487153,1754063,1946,0.462487153,,2606217685,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217685,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,#abdda4,#66c2a5
Prochlorococcus marinus GP2,o,0.625,8,5,0.427350427,1624310,1872,0.427350427,,2606217606,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217606,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,#abdda4,#66c2a5
Prochlorococcus marinus EQPAC1,o,0.666666667,9,6,0.462962963,1654739,1944,0.462962963,,2606217689,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217689,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,#abdda4,#66c2a5
Prochlorococcus marinus AS9601,o,0.625,8,5,0.402414487,1669886,1988,0.402414487,,640069321,Bacteria,Finished,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),640069321,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),"Aquatic, Marine",#abdda4,#66c2a5
Pelagibacter bacterium JGI 02_I9 (contamination screened),o,0,6,,0.609756098,900537,984,0.609756098,,2721756045,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721756045,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 02_I7 (contamination screened),o,0,3,,0.481540931,548078,623,0.481540931,,2724679626,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2724679626,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 02_I16 (contamination screened),o,0,5,,0.815660685,550034,613,0.815660685,,2738541259,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2738541259,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 02_I15 (contamination screened),o,0,5,,0.479846449,917992,1042,0.479846449,,2739367742,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367742,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 02_H21 (contamination screened),o,0,1,,0.408163265,227198,245,0.408163265,,2724679903,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2724679903,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 02_H17 (contamination screened),o,0,3,,0.397350993,688029,755,0.397350993,11,2765236060,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2765236060,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 02_H16 (contamination screened),o,0,2,,0.423728814,399422,472,0.423728814,5,2747842473,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2747842473,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 02_H13 (contamination screened),o,0,2,,0.36900369,479840,542,0.36900369,5,2718218517,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2718218517,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 02_H12 (contamination screened),o,0,1,,0.142450142,625215,702,0.142450142,8,2724679909,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2724679909,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 02_F17 (contamination screened),o,0,5,,0.444839858,1023214,1124,0.444839858,7,2721756051,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721756051,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_M9_750m (contamination screened),o,0,1,,0.384615385,216573,260,0.384615385,9,2739367930,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367930,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_M19 (contamination screened),o,0,1,,0.25974026,338304,385,0.25974026,3,2747842467,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2747842467,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_M16 (contamination screened),o,0,2,,0.62305296,305001,321,0.62305296,5,2747842471,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2747842471,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_M13 (contamination screened),o,0,1,,0.202020202,442880,495,0.202020202,3,2721756042,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721756042,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_L9_1000m (contamination screened),o,0,1,,0.251256281,347590,398,0.251256281,15,2737471720,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2737471720,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_L4_750m (contamination screened),o,0,2,,0.873362445,206924,229,0.873362445,5,2739367684,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367684,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_L12_750m (contamination screened),o,0,2,,0.527704485,350621,379,0.527704485,8,2739367935,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367935,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_K17_4000m (contamination screened),o,0,6,,0.545454545,945666,1100,0.545454545,6,2739367968,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367968,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_K16_4000m (contamination screened),o,0,1,,0.164744646,536559,607,0.164744646,4,2737471712,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2737471712,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_K13_1000m (contamination screened),o,0,1,,0.325732899,262844,307,0.325732899,3,2739367704,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367704,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_J5 (contamination screened),o,0,2,,0.485436893,359838,412,0.485436893,4,2721755963,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721755963,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_J4_1000m (contamination screened),o,0,1,,0.336700337,275657,297,0.336700337,1,2739367710,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367710,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_J20_4000m (contamination screened),o,0,4,,0.468384075,731312,854,0.468384075,4,2739367680,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367680,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_J16_4000m (contamination screened),o,0,2,,0.573065903,304843,349,0.573065903,12,2739367722,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367722,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_J14_750m (contamination screened),o,0,5,,0.698324022,629590,716,0.698324022,,2739367716,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367716,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_J13_4000m (contamination screened),o,0,2,,0.272851296,609899,733,0.272851296,,2739367925,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367925,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_J12 (contamination screened),o,0,2,,0.677966102,252778,295,0.677966102,,2724679621,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2724679621,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_I9_1000m (contamination screened),o,0,2,,0.539083558,319457,371,0.539083558,,2739367818,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367818,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_I19_4000m (contamination screened),o,0,1,,0.212765957,396257,470,0.212765957,,2739367726,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367726,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_I13_4000m (contamination screened),o,0,6,,0.431654676,1277249,1390,0.431654676,,2739367708,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367708,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_I11 (contamination screened),o,0,4,,0.549450549,648468,728,0.549450549,,2721755982,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721755982,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_H21 (contamination screened),o,0,7,,0.561797753,1146258,1246,0.561797753,,2721755849,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721755849,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_H19 (contamination screened),o,0,1,,0.21978022,418001,455,0.21978022,,2721755980,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721755980,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_H17_750m (contamination screened),o,0,4,,1.169590643,313844,342,1.169590643,,2739367941,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367941,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_H17_1000m (contamination screened),o,0,5,,1.152073733,392781,434,1.152073733,,2739367989,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367989,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_H11_1000m (contamination screened),o,0,4,,1.724137931,209236,232,1.724137931,,2737471738,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2737471738,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_G17_4000m (contamination screened),o,0,4,,0.377358491,923555,1060,0.377358491,,2739367824,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367824,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_G16_750m (contamination screened),o,0,2,,0.371747212,479191,538,0.371747212,,2737471730,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2737471730,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_G11 (contamination screened),o,0,4,,0.860215054,400189,465,0.860215054,,2738541250,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2738541250,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_F7_4000m (contamination screened),o,0,3,,0.505902192,540698,593,0.505902192,,2739367712,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367712,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_F6_750m (contamination screened),o,0,2,,0.383877159,443730,521,0.383877159,,2737471736,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2737471736,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_F21 (contamination screened),o,0,6,,1.008403361,528982,595,1.008403361,19,2747842497,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2747842497,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_F20_4000m (contamination screened),o,0,5,,1.340482574,327470,373,1.340482574,,2737471741,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2737471741,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_F14 (contamination screened),o,0,2,,0.412371134,418907,485,0.412371134,,2721756041,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721756041,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_E6 (contamination screened),o,0,1,,0.423728814,205376,236,0.423728814,,2721755981,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721755981,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_E22_750m (contamination screened),o,0,6,,0.729040097,741152,823,0.729040097,,2739367997,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367997,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_D16_4000m (contamination screened),o,0,1,,0.169779287,525994,589,0.169779287,,2739367917,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367917,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI 01_C21_750m (contamination screened),o,0,1,,0.224215247,387233,446,0.224215247,,2739367678,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367678,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Pelagibacter bacterium JGI _01_G17_750m (contamination screened),o,0,2,,0.438596491,398271,456,0.438596491,,2739367730,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367730,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,,
Crocosphaera watsonii WH 8502,o,1.472222222,36,53,0.677328316,4683052,5315,0.677328316,7,2639763078,Bacteria,Permanent Draft,Crocosphaera watsonii WH 8502,"University of California, Santa Cruz",2639763078,Cyanobacteria,Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Environmental,Aquatic,Unclassified,Marine,,Marine,#abdda4,#66c2a5
Crocosphaera watsonii WH 8501,o,1.255813953,43,54,0.640357409,6287279,6715,0.640357409,8,2503283009,Bacteria,Permanent Draft,Crocosphaera watsonii WH 8501 (120ctgs),,2503283009,Cyanobacteria,Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Environmental,Aquatic,Unclassified,Marine,,Fresh water,#abdda4,#3288bd
Crocosphaera watsonii WH 0402,o,1.444444444,18,26,0.766283525,1997175,2349,0.766283525,8,2627853717,Bacteria,Permanent Draft,Crocosphaera watsonii WH 0402,"University of California, Santa Cruz",2627853717,Cyanobacteria,Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,Environmental,Aquatic,Unclassified,Marine,,Marine,#abdda4,#5e4fa2
Crocosphaera watsonii WH 0401 (draft1),o,0,41,,0.78378895,4549610,5231,0.78378895,10,2503283007,Bacteria,Permanent Draft,Crocosphaera watsonii WH 0401,"University of California, Santa Cruz",2503283007,Cyanobacteria,Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera watsonii,,,,,,,#abdda4,#5e4fa2
