,Unnamed: 0,Unnamed: 0.1,Genome Name,HPK,RR,Hybrid,hpkper100,% Hybrid,RR:HPK Ratio,Genome Size,Gene Count,taxon_oid,Domain,Status,Study Name,Sequencing Center,Phylum,Class,CyanoClass,Order,Family,Genus,Species,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Ecotype,Habitat,Ratio_no_RR_Hybrid,org_type_y,ForColors,lifestyle_color,order_color,Unnamed: 5,Unnamed: 6,Unnamed: 7,7.44E-10
123,321,348,Sagittula stellata E-37,51,50,11,0.995899238,21.56862745,0.980392157,5262893,5121,640612219,Bacteria,Permanent Draft,Sagittula stellata E-37,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Sagittula,Sagittula stellata,Engineered,Lab enrichment,Unclassified,Unclassified,,,0.980392157,,Alphaproteobacteria,#fdae61,#3288bd,,,,
0,320,347,Saccharicrinis fermentans DSM 9555,81,39,36,1.684341859,44.44444444,0.481481481,5982061,4809,2509601038,Bacteria,Permanent Draft,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),DOE Joint Genome Institute (JGI),Bacteroidetes,Cytophagia,,Cytophagales,Cytophagaceae,Saccharicrinis,Saccharicrinis fermentans,Environmental,Terrestrial,Unclassified,Soil,,"Aquatic, Marine, Mud",0.481481481,,Bacteroidetes,,,,,,
187,319,346,Rubritalea marina DSM 17716,13,14,3,0.475667764,23.07692308,1.076923077,3015101,2733,2518645606,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Verrucomicrobia,Verrucomicrobiae,,Verrucomicrobiales,Rubritaleaceae,Rubritalea,Rubritalea marina,Host-associated,Unclassified,Unclassified,Unclassified,,"Aquatic, Host, Marine",1.076923077,,Other,,,,,,
260,266,293,Prochlorococcus marinus SS2,5,6,,0.255754476,,1.2,1752772,1955,2606217313,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,1.2,o,Prochlorococcus,#abdda4,#5e4fa2,,,,
238,317,344,Roseovarius sp. TM1035,29,34,6,0.697450697,20.68965517,1.172413793,4209812,4158,640963035,Bacteria,Permanent Draft,Roseovarius sp. TM1035,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius sp. TM1035,Host-associated,Algae,Unclassified,Unclassified,,,1.172413793,,Alphaproteobacteria,#fdae61,#a50026,,,,
155,316,343,Roseovarius sp. 217,39,40,8,0.808625337,20.51282051,1.025641026,4762632,4823,638341184,Bacteria,Permanent Draft,Roseovarius sp. 217,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius sp. 217,Environmental,Aquatic,Neritic zone,Marine,,,1.025641026,,Alphaproteobacteria,#abdda4,#d73027,,,,
143,315,342,Roseovarius nubinhibens ISM,26,26,3,0.721220527,11.53846154,1,3668667,3605,638341183,Bacteria,Permanent Draft,Roseovarius nubinhibens ISM,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius nubinhibens,Environmental,Aquatic,Unclassified,Marine,,,1,,Alphaproteobacteria,#abdda4,#a50026,,,,
79,314,341,Roseobacter sp. SK209-2-6,33,29,11,0.715835141,33.33333333,0.878787879,4555826,4610,640612220,Bacteria,Permanent Draft,Roseobacter sp. SK209-2-6,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. SK209-2-6,Environmental,Aquatic,Unclassified,Marine,,,0.878787879,,Alphaproteobacteria,#abdda4,#66c2a5,,,,
47,313,340,Roseobacter sp. MED193,38,31,16,0.825190011,42.10526316,0.815789474,4652716,4605,638341182,Bacteria,Permanent Draft,Roseobacter sp. MED193,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. MED193,Environmental,Aquatic,Unclassified,Marine,,,0.815789474,,Alphaproteobacteria,#abdda4,#d73027,,,,
109,312,339,Roseobacter sp. GAI101,45,43,12,1.056834194,26.66666667,0.955555556,4527951,4258,647533205,Bacteria,Permanent Draft,Sulfitobacter sp. GAI101,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. GAI101,Environmental,Aquatic,Neritic zone,Marine,,,0.955555556,,Alphaproteobacteria,#abdda4,#d73027,,,,
174,311,338,Roseobacter sp. CCS2,20,21,2,0.540102619,10,1.05,3497325,3703,640612221,Bacteria,Permanent Draft,Loktanella sp. CCS2,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. CCS2,,,,,,,1.05,,Alphaproteobacteria,#abdda4,#d73027,,,,
158,310,337,Roseobacter sp. AzwK-3b,33,34,10,0.786275911,30.3030303,1.03030303,4178704,4197,640963029,Bacteria,Permanent Draft,Roseobacter sp. AzwK-3b,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp. AzwK-3b,Environmental,Aquatic,Intertidal zone,Marine,,,1.03030303,,Alphaproteobacteria,#abdda4,#d73027,,,,
270,309,336,Roseobacter litoralis Och 149,28,34,7,0.611754424,25,1.214285714,4745450,4577,2510065042,Bacteria,Finished,Roseobacter litoralis Och 149,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter litoralis,Host-associated,Plants,Unclassified,Unclassified,,,1.214285714,,Alphaproteobacteria,#abdda4,#3288bd,,,,
38,308,335,Robiginitomaculum antarcticum DSM 21748,29,23,4,1.079270562,13.79310345,0.793103448,2769471,2687,2522125083,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Hyphomonadaceae,Robiginitomaculum,Robiginitomaculum antarcticum,Environmental,Aquatic,Pelagic,Marine,,"Aquatic, Marine, Sea water",0.793103448,,Alphaproteobacteria,,,,,,
239,307,334,Robiginitalea biformata HTCC2501,23,27,7,0.706605223,30.43478261,1.173913043,3530383,3255,646311950,Bacteria,Finished,Robiginitalea biformata HTCC2501,J. Craig Venter Institute (JCVI),Bacteroidetes,Flavobacteriia,,Flavobacteriales,Flavobacteriaceae,Robiginitalea,Robiginitalea biformata,Environmental,Aquatic,Unclassified,Marine,,,1.173913043,,Bacteroidetes,#fdae61,#3288bd,,,,
259,265,292,Prochlorococcus marinus SB,5,6,,0.25987526,,1.2,1669823,1924,2606217677,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,1.2,o,Prochlorococcus,#abdda4,#66c2a5,,,,
168,305,332,Rhodobacteraceae bacterium KLH11,24,25,5,0.553250346,20.83333333,1.041666667,4487498,4338,647533201,Bacteria,Permanent Draft,Rhodobacteraceae sp. KLH11,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,unclassified,Rhodobacteraceae bacterium KLH11,Host-associated,Porifera,Unclassified,Unclassified,,,1.041666667,,Alphaproteobacteria,#fdae61,#d73027,,,,
272,304,331,Rheinheimera baltica DSM 14885,50,61,11,1.194172439,22,1.22,4351767,4187,2523533585,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimera baltica,Environmental,Aquatic,Marginal Sea,Marine,,"Aquatic, Marine, Sea water",1.22,,Gammaproteobacteria,,,,,,
322,303,330,Psychromonas sp. CNPT3,18,26,2,0.630693763,11.11111111,1.444444444,3053233,2854,2501651206,Bacteria,Finished,Psychromonas sp. CNPT3,J. Craig Venter Institute (JCVI),Proteobacteria,Gammaproteobacteria,,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas sp. CNPT3,Environmental,Aquatic,Oceanic,Marine,,,1.444444444,,Gammaproteobacteria,#fdae61,#d73027,,,,
249,302,329,Psychromonas ossibalaenae ATCC BAA-1528,51,61,16,1.113294041,31.37254902,1.196078431,5206115,4581,2519899699,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas ossibalaenae,Environmental,Aquatic,Intertidal zone,Marine,,"Aquatic, Marine, Sediment",1.196078431,,Gammaproteobacteria,,,,,,
245,301,328,Psychromonas arctica DSM 14288,39,46,10,0.924389666,25.64102564,1.179487179,4745897,4219,2528311092,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas arctica,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",1.179487179,,Gammaproteobacteria,,,,,,
208,300,327,Psychromonas aquimarina ATCC BAA-1526,61,68,23,1.25385406,37.70491803,1.114754098,5536496,4865,2524614866,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,,Alteromonadales,Psychromonadaceae,Psychromonas,Psychromonas aquimarina,Environmental,Aquatic,Oceanic,Marine,,,1.114754098,,Gammaproteobacteria,,,,,,
75,299,326,Psychrilyobacter atlanticus DSM 19335,23,20,3,0.673696544,13.04347826,0.869565217,3539325,3414,2524614854,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),DOE Joint Genome Institute (JGI),Fusobacteria,Fusobacteriia,,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,Psychrilyobacter atlanticus,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine, Marine sediment, Sediment",0.869565217,,Other,,,,,,
236,298,325,Pseudovibrio sp. JE062,35,41,9,0.657523953,25.71428571,1.171428571,5726521,5323,647533200,Bacteria,Permanent Draft,Pseudovibrio sp. JE062,"J. Craig Venter Institute (JCVI), University of Maryland School of Medicine",Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Pseudovibrio,Pseudovibrio sp. JE062,Host-associated,Porifera,Unclassified,Unclassified,,,1.171428571,,Alphaproteobacteria,#fdae61,#d73027,,,,
108,297,324,Pseudorhodobacter ferrugineus DSM 5888,21,20,5,0.603448276,23.80952381,0.952380952,3430274,3480,2524023154,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter,Pseudorhodobacter ferrugineus,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",0.952380952,,Alphaproteobacteria,,,,,,
107,296,323,Pseudooceanicola nanhaiensis DSM 18065,41,39,6,0.901495163,14.63414634,0.951219512,4659730,4548,2558309102,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola,Pseudooceanicola nanhaiensis,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine, Sediment",0.951219512,,Alphaproteobacteria,,,,,,
141,295,322,Pseudooceanicola batsensis HTCC2597,26,26,7,0.610185402,26.92307692,1,4437668,4261,638341139,Bacteria,Permanent Draft,Oceanicola batsensis HTCC2597,J. Craig Venter Institute (JCVI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola,Pseudooceanicola batsensis,Environmental,Aquatic,Unclassified,Marine,,,1,,Alphaproteobacteria,#fdae61,#fee086,,,,
67,294,321,Pseudodonghicola xiamenensis DSM 18339,32,27,8,0.698384985,25,0.84375,4734081,4582,2524023213,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Alphaproteobacteria,,Rhodobacterales,Rhodobacteraceae,Pseudodonghicola,Pseudodonghicola xiamenensis,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine",0.84375,,Alphaproteobacteria,,,,,,
226,293,320,Pseudoalteromonas undina NCIMB 2128,54,62,25,1.466992665,46.2962963,1.148148148,3998432,3681,2541047161,Bacteria,Permanent Draft,Pseudoalteromonas project - Shandong University,Shandong University,Proteobacteria,Gammaproteobacteria,,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas undina,Environmental,Aquatic,Unclassified,Marine,,,1.148148148,c,Gammaproteobacteria,#3288bd,#d73027,,,,
243,292,319,Pseudoalteromonas tunicata D2,67,79,26,1.44489972,38.80597015,1.179104478,4982425,4637,638341157,Bacteria,Permanent Draft,Pseudoalteromonas tunicata D2,J. Craig Venter Institute (JCVI),Proteobacteria,Gammaproteobacteria,,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas tunicata,Host-associated,Animal,Unclassified,Unclassified,,,1.179104478,c,Gammaproteobacteria,#3288bd,#d73027,,,,
304,291,318,Pseudoalteromonas spiralis DSM 16099,48,62,21,1.182848694,43.75,1.291666667,4158027,4058,2675903427,Bacteria,Draft,Pseudoalteromonas spiralis strain:DSM 16099 Genome sequencing,"Chinese Academy of Sciences, Institute of Oceanology",Proteobacteria,Gammaproteobacteria,,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas spiralis,,,,,,,1.291666667,c,Gammaproteobacteria,#3288bd,#3288bd,,,,
199,290,317,Pseudoalteromonas sp. TW-7,50,55,23,1.289656951,46,1.1,4104952,3877,639857033,Bacteria,Permanent Draft,Pseudoalteromonas sp. TW-7,J. Craig Venter Institute (JCVI),Proteobacteria,Gammaproteobacteria,,Alteromonadales,unclassified,unclassified,Alteromonadales bacterium TW-7,Host-associated,Unclassified,Unclassified,Unclassified,,,1.1,c,Gammaproteobacteria,#3288bd,#66c2a5,,,,
224,289,316,Pseudoalteromonas sp. SM9913,49,56,23,1.289813109,46.93877551,1.142857143,4037671,3799,649633085,Bacteria,Finished,Pseudoalteromonas project - Shandong University,Nankai University,Proteobacteria,Gammaproteobacteria,,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. SM9913,Environmental,Aquatic,Oceanic,Marine,,,1.142857143,c,Gammaproteobacteria,#3288bd,#3288bd,,,,
206,288,315,Pseudoalteromonas sp. PAMC 22718,53,59,23,1.351351351,43.39622642,1.113207547,4184624,3922,2548877051,Bacteria,Permanent Draft,Pseudoalteromonas sp. PAMC 22718,Korea Polar Research Institute (KOPRI),Proteobacteria,Gammaproteobacteria,,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. PAMC 22718,Environmental,Aquatic,Unclassified,Marine,,,1.113207547,c,Gammaproteobacteria,#3288bd,#3288bd,,,,
114,287,314,Pseudoalteromonas sp. NJ631,86,83,29,1.824740081,33.72093023,0.965116279,5349905,4713,2551306111,Bacteria,Permanent Draft,Pseudoalteromonas sp. NJ631,Ningbo University,Proteobacteria,Gammaproteobacteria,,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. NJ631,Environmental,Aquatic,Unclassified,Marine,,,0.965116279,c,Gammaproteobacteria,#3288bd,#3288bd,,,,
220,286,313,Pseudoalteromonas sp. DSM 26666,52,59,25,1.416122004,48.07692308,1.134615385,4024100,3672,2619619023,Bacteria,Draft,Creating a successional model for carbon remediation in the Gulf of Mexico,DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. DSM 26666,,,,,,,1.134615385,c,Gammaproteobacteria,#3288bd,#5e4fa2,,,,
117,285,312,Pseudoalteromonas rubra S2471,85,83,38,1.72623883,44.70588235,0.976470588,5733623,4924,2671180867,Bacteria,Draft,Genome sequencce of marine bacteria isolated during Galathea 3 global expedition,Technical University of Denmark,Proteobacteria,Gammaproteobacteria,,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas rubra,,,,,,,0.976470588,c,Gammaproteobacteria,#3288bd,#3288bd,,,,
110,284,311,Pseudoalteromonas rubra ATCC 29570,94,90,41,1.851487099,43.61702128,0.957446809,5954504,5077,2541047006,Bacteria,Permanent Draft,Pseudoalteromonas project - Shandong University,Shandong University,Proteobacteria,Gammaproteobacteria,,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas rubra,Environmental,Aquatic,Unclassified,Marine,,,0.957446809,c,Gammaproteobacteria,#3288bd,#d73027,,,,
99,283,310,Pseudoalteromonas piscicida ATCC 15057,89,83,31,1.863484087,34.83146067,0.93258427,5279016,4776,2519899641,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas piscicida,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",0.93258427,c,Gammaproteobacteria,#3288bd,#d73027,,,,
274,282,309,Pseudoalteromonas haloplanktis TAC125,36,44,17,0.990643919,47.22222222,1.222222222,3850272,3634,637000217,Bacteria,Finished,Pseudoalteromonas haloplanktis TAC125,"CEA Genoscope, Institut Pasteur",Proteobacteria,Gammaproteobacteria,,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas haloplanktis,Environmental,Aquatic,Neritic zone,Marine,,,1.222222222,c,Gammaproteobacteria,#3288bd,#5e4fa2,,,,
182,281,308,Pseudoalteromonas denitrificans DSM 6059,100,107,34,1.830831197,34,1.07,6094166,5462,2599185267,Bacteria,Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Proteobacteria,Gammaproteobacteria,,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas denitrificans,,,,,,,1.07,c,Gammaproteobacteria,#3288bd,#3288bd,,,,
268,280,307,Pseudoalteromonas atlantica TB41,49,59,22,1.127214171,44.89795918,1.204081633,4632606,4347,2579778892,Bacteria,Permanent Draft,Pseudoalteromonas project - Florence University,University of Florence,Proteobacteria,Gammaproteobacteria,,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. TB41,Host-associated,Animal,Unclassified,Unclassified,,,1.204081633,c,Gammaproteobacteria,#3288bd,#3288bd,,,,
4,279,306,Prolixibacter bellariivorans ATCC BAA-1284,65,38,24,1.516919487,36.92307692,0.584615385,5151245,4285,2556921657,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),Bacteroidetes,Bacteroidia,,Bacteroidales,Prolixibacteraceae,Prolixibacter,bellariivorans,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine, Sediment",0.584615385,,Bacteroidetes,,,,,,
294,264,289,Prochlorococcus marinus PAC1,4,5,,0.182066454,,1.25,1841163,2197,2606217419,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,1.25,o,Prochlorococcus,#abdda4,#5e4fa2,,,,
258,263,286,Prochlorococcus marinus NATL1A,5,6,,0.222123501,,1.2,1864731,2251,640069325,Bacteria,Finished,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,1.2,o,Prochlorococcus,#abdda4,#3288bd,,,,
140,262,283,Prochlorococcus marinus MIT9401,5,5,,0.256541816,,1,1666808,1949,2606217316,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,1,o,Prochlorococcus,#abdda4,#3288bd,,,,
139,261,282,Prochlorococcus marinus MIT9322,5,5,,0.258264463,,1,1657550,1936,2606217679,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,1,o,Prochlorococcus,#abdda4,#5e4fa2,,,,
138,260,281,Prochlorococcus marinus MIT9321,5,5,,0.258131131,,1,1658664,1937,2606217683,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,1,o,Prochlorococcus,#abdda4,#3288bd,,,,
257,259,280,Prochlorococcus marinus MIT9314,5,6,,0.252908447,,1.2,1690556,1977,2606217312,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,1.2,o,Prochlorococcus,#abdda4,#fdae61,,,,
256,258,275,Prochlorococcus marinus MIT9311,5,6,,0.254323499,,1.2,1711064,1966,2606217680,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,1.2,o,Prochlorococcus,#abdda4,#fdae61,,,,
213,257,274,Prochlorococcus marinus MIT9303,8,9,,0.255346313,,1.125,2682675,3133,640069323,Bacteria,Finished,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,1.125,o,Prochlorococcus,#abdda4,#fdae61,,,,
255,256,273,Prochlorococcus marinus MIT9302,5,6,,0.248385494,,1.2,1745343,2013,2606217691,Bacteria,Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,1.2,o,Prochlorococcus,#abdda4,#66c2a5,,,,
290,255,270,Prochlorococcus marinus MIT9215,4,5,,0.20010005,,1.25,1738790,1999,2606217559,Bacteria,Finished,Prochlorococcus sp. MIT9215,DOE Joint Genome Institute (JGI),Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,1.25,o,Prochlorococcus,#abdda4,#fdae61,,,,
291,255,270,Prochlorococcus marinus MIT9215,4,5,,0.20010005,,1.25,1738790,1999,2606217559,Bacteria,Finished,Prochlorococcus sp. MIT9215,DOE Joint Genome Institute (JGI),Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,1.25,o,Prochlorococcus,#abdda4,#fdae61,,,,
292,255,270,Prochlorococcus marinus MIT9215,4,5,,0.20010005,,1.25,1738790,1999,2606217559,Bacteria,Finished,Prochlorococcus sp. MIT9215,DOE Joint Genome Institute (JGI),Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,1.25,o,Prochlorococcus,#abdda4,#5e4fa2,,,,
293,255,270,Prochlorococcus marinus MIT9215,4,5,,0.20010005,,1.25,1738790,1999,2606217559,Bacteria,Finished,Prochlorococcus sp. MIT9215,DOE Joint Genome Institute (JGI),Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,1.25,o,Prochlorococcus,#abdda4,#5e4fa2,,,,
254,254,269,Prochlorococcus marinus MIT9211,5,6,,0.263019463,,1.2,1688963,1901,641228501,Bacteria,Finished,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,1.2,o,Prochlorococcus,#abdda4,#fdae61,,,,
289,253,266,Prochlorococcus marinus MIT9201,4,5,,0.201918223,,1.25,1672416,1981,2606217687,Bacteria,Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,1.25,o,Prochlorococcus,#abdda4,#3288bd,,,,
288,252,265,Prochlorococcus marinus MIT9123,4,5,,0.202020202,,1.25,1697748,1980,2606217318,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Cyanobacteria,unclassified,Prochlorococcus,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,1.25,o,Prochlorococcus,#abdda4,#3288bd,,,,
